Date,Price,Open,High,Low,Vol.,Change %
30-Dec-99,1480.45,"1,489.20","1,504.95","1,476.75",14.71M,0.28%
29-Dec-99,1476.35,"1,443.90","1,483.40","1,443.90",19.75M,2.37%
28-Dec-99,1442.20,"1,427.45","1,451.35","1,418.85",28.57M,0.71%
27-Dec-99,1432.10,"1,459.65","1,460.50","1,427.70",21.85M,-1.84%
24-Dec-99,1459.00,"1,488.05","1,489.90","1,453.35",25.67M,-1.97%
23-Dec-99,1488.35,"1,481.60","1,510.85","1,481.60",17.19M,0.45%
22-Dec-99,1481.70,"1,429.15","1,486.90","1,429.15",44.34M,4.22%
21-Dec-99,1421.70,"1,422.60","1,437.60","1,413.85",30.20M,-0.05%
20-Dec-99,1422.45,"1,419.45","1,435.55","1,418.75",31.08M,0.22%
17-Dec-99,1419.30,"1,420.10","1,439.25","1,414.15",29.85M,-0.03%
16-Dec-99,1419.70,"1,404.05","1,428.50","1,402.75",23.55M,1.31%
15-Dec-99,1401.40,"1,396.60","1,410.80","1,376.75",27.41M,0.23%
14-Dec-99,1398.25,"1,427.90","1,431.25","1,391.10",36.43M,-2.06%
13-Dec-99,1427.65,"1,440.20","1,444.95","1,421.85",25.63M,-0.84%
10-Dec-99,1439.70,"1,448.05","1,462.60","1,437.00",30.86M,-0.54%
9-Dec-99,1447.55,"1,437.10","1,451.50","1,428.05",28.32M,0.62%
8-Dec-99,1438.65,"1,451.10","1,486.15","1,420.95",55.49M,-0.45%
7-Dec-99,1445.15,"1,443.20","1,455.40","1,439.65",40.66M,0.16%
6-Dec-99,1442.85,"1,418.30","1,445.60","1,418.30",36.33M,1.75%
3-Dec-99,1418.00,"1,409.05","1,436.65","1,409.05",41.86M,0.65%
2-Dec-99,1408.85,"1,388.20","1,420.70","1,387.20",35.59M,1.45%
1-Dec-99,1388.75,"1,375.05","1,401.10","1,374.70",30.99M,0.92%
30-Nov-99,1376.15,"1,384.90","1,386.75","1,370.55",31.63M,-0.61%
29-Nov-99,1384.65,"1,399.80","1,401.25","1,382.20",29.33M,-1.07%
26-Nov-99,1399.60,"1,409.35","1,418.15","1,395.50",34.64M,-0.64%
25-Nov-99,1408.65,"1,395.85","1,417.65","1,395.85",36.85M,0.98%
24-Nov-99,1394.95,"1,376.50","1,404.05","1,376.50",41.97M,1.43%
22-Nov-99,1375.25,"1,362.40","1,378.10","1,358.20",30.07M,0.98%
19-Nov-99,1361.85,"1,365.25","1,381.05","1,360.05",25.39M,-0.18%
18-Nov-99,1364.25,"1,353.40","1,366.25","1,342.25",24.29M,0.89%
17-Nov-99,1352.25,"1,367.65","1,381.50","1,352.25",28.94M,-0.41%
16-Nov-99,1357.75,"1,362.30","1,362.30","1,351.40",24.94M,-0.36%
15-Nov-99,1362.70,"1,372.75","1,381.10","1,358.15",21.00M,-0.79%
12-Nov-99,1373.55,"1,389.25","1,389.40","1,368.85",24.60M,-1.16%
11-Nov-99,1389.60,"1,389.20","1,402.70","1,382.30",36.51M,0.04%
10-Nov-99,1389.10,"1,371.60","1,392.55","1,371.60",28.09M,1.31%
9-Nov-99,1371.20,"1,370.50","1,374.80","1,345.25",36.47M,0.12%
7-Nov-99,1369.60,"1,364.70","1,382.25","1,364.70",14.70M,0.37%
5-Nov-99,1364.55,"1,336.75","1,369.65","1,336.55",42.07M,2.08%
4-Nov-99,1336.80,"1,326.85","1,339.75","1,313.60",36.10M,0.78%
3-Nov-99,1326.40,"1,332.70","1,353.55","1,303.25",51.55M,-0.44%
2-Nov-99,1332.20,"1,269.30","1,335.60","1,239.80",49.35M,4.90%
1-Nov-99,1270.00,"1,325.90","1,332.70","1,260.80",42.51M,-4.18%
29-Oct-99,1325.45,"1,367.90","1,370.80","1,296.70",54.90M,-3.09%
28-Oct-99,1367.70,"1,411.20","1,411.45","1,361.05",38.44M,-3.10%
27-Oct-99,1411.40,"1,419.10","1,440.70","1,400.75",46.64M,-0.21%
26-Oct-99,1414.35,"1,426.60","1,431.50","1,410.95",43.55M,-0.83%
25-Oct-99,1426.20,"1,449.85","1,457.20","1,410.85",50.23M,-1.63%
23-Oct-99,1449.80,"1,430.75","1,451.85","1,429.10",13.42M,1.37%
22-Oct-99,1430.25,"1,452.60","1,452.60","1,421.40",47.32M,-1.59%
21-Oct-99,1453.35,"1,478.00","1,496.45","1,448.35",57.11M,-1.64%
20-Oct-99,1477.65,"1,446.20","1,498.70","1,446.20",56.37M,2.33%
18-Oct-99,1444.05,"1,454.90","1,461.45","1,426.15",48.45M,-0.72%
15-Oct-99,1454.55,"1,505.70","1,512.00","1,448.95",33.57M,-3.36%
14-Oct-99,1505.20,"1,497.30","1,522.85","1,496.65",40.80M,0.59%
13-Oct-99,1496.30,"1,485.45","1,510.50","1,466.00",61.68M,0.84%
12-Oct-99,1483.85,"1,484.40","1,493.15","1,472.35",55.86M,-0.01%
11-Oct-99,1484.00,"1,480.80","1,504.55","1,479.10",50.44M,0.32%
8-Oct-99,1479.25,"1,470.00","1,502.65","1,462.75",55.10M,0.65%
7-Oct-99,1469.75,"1,394.35","1,475.45","1,394.35",62.42M,5.53%
6-Oct-99,1392.70,"1,377.65","1,419.75","1,377.15",57.10M,1.06%
5-Oct-99,1378.15,"1,372.40","1,384.35","1,358.95",46.22M,0.43%
4-Oct-99,1372.30,"1,403.45","1,406.35","1,367.85",39.01M,-2.20%
1-Oct-99,1403.20,"1,414.65","1,419.10","1,389.05",49.45M,-0.70%
30-Sep-99,1413.10,"1,415.55","1,432.55","1,409.55",57.21M,-0.16%
29-Sep-99,1415.30,"1,380.70","1,429.05","1,380.30",58.49M,2.62%
28-Sep-99,1379.15,"1,389.25","1,389.45","1,363.45",55.04M,-0.74%
27-Sep-99,1389.50,"1,413.80","1,427.15","1,387.05",46.40M,-1.61%
24-Sep-99,1412.25,"1,397.45","1,427.75","1,396.75",53.62M,1.02%
23-Sep-99,1398.00,"1,387.95","1,403.55","1,387.45",40.01M,0.83%
22-Sep-99,1386.45,"1,350.70","1,400.00","1,350.70",34.76M,2.65%
21-Sep-99,1350.60,"1,358.45","1,367.75","1,348.60",36.61M,-0.53%
20-Sep-99,1357.85,"1,359.80","1,379.05","1,356.30",30.80M,-0.14%
17-Sep-99,1359.70,"1,350.35","1,364.05","1,329.70",34.65M,0.63%
16-Sep-99,1351.20,"1,374.45","1,375.35","1,347.30",31.30M,-1.71%
15-Sep-99,1374.70,"1,371.00","1,392.35","1,371.00",35.09M,0.30%
14-Sep-99,1370.55,"1,391.90","1,397.45","1,366.25",43.76M,-1.48%
10-Sep-99,1391.10,"1,397.15","1,398.60","1,388.85",40.90M,-0.42%
9-Sep-99,1396.90,"1,400.15","1,402.25","1,388.65",41.09M,-0.19%
8-Sep-99,1399.50,"1,385.55","1,413.45","1,385.55",43.97M,1.17%
7-Sep-99,1383.25,"1,391.20","1,403.75","1,378.95",40.41M,-0.50%
6-Sep-99,1390.20,"1,375.45","1,392.05","1,372.50",30.64M,1.11%
3-Sep-99,1374.95,"1,375.70","1,384.25","1,370.95",31.51M,-0.07%
2-Sep-99,1375.85,"1,410.00","1,410.00","1,372.50",32.97M,-2.47%
1-Sep-99,1410.70,"1,412.05","1,430.80","1,397.70",43.99M,-0.09%
31-Aug-99,1412.00,"1,422.65","1,424.05","1,409.55",38.97M,-0.75%
30-Aug-99,1422.60,"1,417.80","1,435.50","1,417.80",46.99M,0.36%
27-Aug-99,1417.50,"1,402.60","1,425.20","1,402.60",36.61M,1.07%
26-Aug-99,1402.50,"1,371.90","1,408.15","1,371.90",38.22M,2.25%
25-Aug-99,1371.65,"1,383.45","1,414.00","1,341.35",50.30M,-0.80%
24-Aug-99,1382.65,"1,370.05","1,385.60","1,369.90",45.41M,0.95%
23-Aug-99,1369.70,"1,347.75","1,375.95","1,347.75",46.43M,1.66%
20-Aug-99,1347.30,"1,345.60","1,350.30","1,332.40",28.90M,0.17%
19-Aug-99,1345.00,"1,363.50","1,375.45","1,341.55",43.35M,-1.35%
18-Aug-99,1363.35,"1,326.00","1,371.90","1,326.00",46.82M,3.07%
17-Aug-99,1322.70,"1,310.30","1,327.90","1,310.30",34.96M,0.98%
16-Aug-99,1309.90,"1,292.35","1,314.15","1,292.35",34.65M,1.40%
13-Aug-99,1291.85,"1,309.70","1,317.10","1,290.30",26.03M,-1.35%
12-Aug-99,1309.50,"1,315.90","1,321.55","1,308.05",27.26M,-0.44%
11-Aug-99,1315.30,"1,308.75","1,328.20","1,295.20",34.51M,0.42%
10-Aug-99,1309.75,"1,328.15","1,328.40","1,305.85",33.65M,-1.36%
9-Aug-99,1327.75,"1,316.90","1,332.90","1,312.80",37.62M,0.83%
6-Aug-99,1316.80,"1,323.15","1,326.00","1,315.15",30.09M,-0.49%
5-Aug-99,1323.30,"1,326.75","1,345.85","1,317.50",33.02M,-0.23%
4-Aug-99,1326.40,"1,285.90","1,329.30","1,285.90",43.24M,3.22%
3-Aug-99,1285.05,"1,289.20","1,290.80","1,277.85",39.01M,-0.35%
2-Aug-99,1289.60,"1,309.85","1,310.80","1,282.85",25.88M,-1.57%
30-Jul-99,1310.15,"1,325.55","1,325.55","1,302.50",34.29M,-1.17%
29-Jul-99,1325.70,"1,320.75","1,329.75","1,312.55",46.82M,0.42%
28-Jul-99,1320.10,"1,309.75","1,337.00","1,309.75",40.25M,0.78%
27-Jul-99,1309.85,"1,325.40","1,327.00","1,304.40",40.02M,-1.23%
26-Jul-99,1326.15,"1,342.60","1,342.60","1,314.80",30.65M,-1.25%
23-Jul-99,1342.95,"1,350.00","1,367.30","1,339.60",38.45M,-0.46%
22-Jul-99,1349.20,"1,339.05","1,358.25","1,337.55",43.14M,0.68%
21-Jul-99,1340.15,"1,314.80","1,346.65","1,302.80",40.17M,1.94%
20-Jul-99,1314.70,"1,349.60","1,350.35","1,310.85",50.20M,-2.59%
19-Jul-99,1349.60,"1,325.35","1,357.85","1,325.35",47.69M,1.91%
16-Jul-99,1324.25,"1,318.30","1,331.75","1,312.30",47.85M,0.50%
15-Jul-99,1317.70,"1,335.55","1,367.95","1,310.45",71.34M,-1.31%
14-Jul-99,1335.15,"1,322.90","1,341.10","1,306.20",62.49M,1.04%
13-Jul-99,1321.45,"1,315.75","1,338.15","1,315.75",69.96M,0.46%
